,question,cluster
1705,"leaving that aside , is the process of short selling monitored by any gov't or 3rd party entities ?
",1
1706,"at 1:32 , what is a broker ?
",6
1707,"how does short selling and shorting impact the stock market ?
",0
1708,"if so , would the broker be held accountable since he/she allowed the shorting of the owners stock ?
",7
1709,"can somoene please explain me what a broker is ?
",7
1710,"if the debt is owned to bank b , does n't it mean that bank b and c owes each other , so their debts cancel each other out ?
",7
1711,"why the 2m dollars does not included into opportunity cost ?
",7
1712,"is n't the opcc the same as the depreciation value in the second 'economic profit ' financial statement ?
",0
1713,"basically does the estate include gifts that were given before the person died ?
",1
1714,"why ca n't you sell all your stuff to your children before you die ?
",9
1715,"how is high utilization associated with high demand ?
",0
1716,"what was the highest level of infation ever ?
",0
1717,"why does fed only want to buy treasuries , not anything else ?
",7
1718,"so does that mean that in effect central banks ontrol libor ?
",7
1719,"why does cash go down in the last month by $ 100 ( from $ 500 to $ 400 ) when the profit was $ 100 ?
",7
1720,"would it be a deferred revenue as total money was not paid ?
",7
1721,"can someone explain to me what stickiness of relative prices means ?
",0
1722,"also , can you list some reasons why economists generally dislike deflation ?
",0
1723,"what happens to people who owe money when there is deflation ?
",7
1724,"i mean what is the importance of breakdown of gas prices in the laws of supply , demand and market equilibrium ?
",0
1725,"wait ... at around 12:07 , how do gas stations get any money ?
",9
1726,"do we need to know this breakdown of gas prices in reading microeconomics ?
",0
1727,"does shorter chain produces inferior quality oil ?
",0
1728,"how is the bus powered ?
",4
1729,"how many barrels of oil are there worldwide and how many years of oil are there left ?
",0
1730,"if the buyer and seller sell their contracts on the market , do they make or lose money ?
",7
1731,"what doees cdo stand for ?
",6
1732,"so is equity infusion what many banks engaged in during the financial crisis ?
",7
1733,"i thought the company only has 500 million shares , how come you buy 3 billion shares at 10:20 ?
",7
1734,"why did the sovereign wealth fund pay 1.50/share instead of 1.00/share ?
",7
1735,"can oil be manufactured by mixing chemicals , and would it be cheaper ?
",0
1736,"why would the price of oil be very high when there 's excess capacity at the refineries ?
",0
1737,"therefore , does n't oil prices track macroeconomic variables such as inflation ?
",0
1738,"does n't marginal cost go down for a bit because of a distribution of fixed costs , rather than just going exponential up like a supply curve ?
",0
1739,"can you discuss the current supply shock in the oil market due to north americas new production of sand oil ?
",0
1740,"how does refinery refining capacity effect price ?
",0
1741,"does n't that make this whole idea unrealistic ?
",9
1742,"what is the change in demand of the required reserve ratio = 10 % ?
",0
1743,"if marginal prosperity to consume ( mpc ) is 0.8 , the keynesian investment multiplier would be ?
",6
1744,"after you had made the first trap , would n't you start getting rabbits without having to hunt for them ?
",9
1745,"is the current account deficit preventing turkey from using currency reserves from stabilizing the economy ?
",0
1746,"are these speculations only on small countries or do speculators just have access to that much capital to make an impact on an entire nation ?
",0
1747,"does the state tax take from you salary before or after the federal tax takes from you ?
",7
1748,"is this video not simply saying that each currency is subject to supply and demand , and that the exchange rate is the market price , expressed in relative terms ?
",0
1749,"can anybody explain to me what purchasing power parity is ?
",9
1750,"can you trade cash for yuan face to face , or do you have to trade yuan any way els and how ?
",0
1751,"what exactly is a stock ?
",0
1752,"how is the value of currency decided ?
",0
1753,"what if you were selling prunes and grapes , would quantity supplied of grapes go up to produce both or would the most popular of the two go up ?
",6
1754,"what a decrease in the price of oranges would lead to ?
",0
1755,"does not that mean that ( according to law of demand ) the demand for my red wine goes up and i can raise my prices ( in one year or so ) for my red wine ?
",0
1756,"was n't the whole chart based on how much an individual actor ( farmer , whatever ) is willing to produce considering the current price on the market ?
",0
1757,"at 2:50 if we assume that the price of blueberries increased from $ 1 to $ 2 , but the price of grapes was still greater at $ 4 then why would the supply of grapes decrease as more profit can still be made from producing grapes ?
",0
1758,"but is the price of blueberries goes up would n't the quantity demanded would go down , so i would get stuck with unsold blueberries and people would actually demand more grapes since it would be a cheaper good ?
",0
1759,"if there was abnormal profit being made and there were no barriers in entry , then the number of suppliers would increase resulting in lower prices and thus eating into the abnormal profit right ?
",0
1760,"are there any current examples of monopolies resulting in a free market ?
",0
1761,"in what conditions can monopoly occur ?
",0
1762,"is it true that monopolies may set set price and quantity of their products at any level they wish without government restrictions or regulations ?
",0
1763,"why do we fight to keep monopolies ?
",1
1764,"hey , is n't the price and hence demand predetermined by the industry ?
",0
1765,"if a country is experiencing hyperinflation , how du manage to make comeback from that ?
",1
1766,"where would one find out the tax bracket rates for their country ?
",0
1767,"is tax brackets actually the breaking down of taxation level ?
",0
1768,"what are some simplifying assumptions in the world of government and politics ?
",1
1769,"but is n't there a difference between marginal cost and incremental cost ?
",0
1770,"how must the quantity elasticity of inverse demand and the quantity elasticity of inverse supply be related for the impact of t on revenue to be zero ?
",3
1771,"if the producer pays the tax and ca n't charge it to the consumer when the market is elastic , why ca n't countries get foreign producers to pay for more of the taxes on products that hinder domestic competition ?
",0
1772,"say the product is 8 $ but not a lot of people want it will you still get the expected number of people buying it or will you get fewer people buying it ?
",9
1773,"why is the `` demand '' increasing , when the demand curve shifted to the right ?
",0
1774,"did the price of gas change ?
",0
1775,"i wonder what makes price so special and not something like population or market size ?
",0
1776,"does the curve , our basic e-book curve has to do anything with it shifting to the left or right side ?
",3
1777,"i mean what is the connection between i2 and b ?
",2
1778,"even if b goes bankrupt , p2 could still get the $ if they are senior enough , right ?
",2
1779,"how bad is the deficit ?
",0
1780,"does anybody know what income rates are ?
",0
1781,"standardized contracts are created to protect farmers and chains from future unpredictability , while margins are created to protect the third party from losses , am i making sense ?
",0
1782,"is the settlement price a close concept to the option premium ?
",0
1783,"if you buy a particular commodity from many different types of stores and all the sellers offer it to you at the same price , will all the sellers earn economic profit in the lr ?
",0
1784,"how do we know that for the economic profit to be neutral , price should be $ 0.50 ?
",0
1785,"after a strike , the cost of labor increases to w = 4. what is now the optimal combination of inputs to produce q = 10 ?
",2
1786,"if an option is in the money , what is the difference between `` selling the option '' and `` exercising the option '' ?
",7
1787,"how does both share of population and entire of population are credit constrained affect the slop ?
",0
1788,"what is the difference between federal reserve note and federal note outstanding ?
",7
1789,"what actually causes a stock price to go up or down ?
",0
1790,"is the original owner of stock still considered to be a shareholder for purposes of voting , or is it a person to whom i short-selled the stock ?
",7
1791,"the short seller could hold it till the share goes down to his demanded price though it costs more interest , right ?
",0
1792,"what happens if you short stok your own stocks through a stock broker ?
",0
1793,"so is shorting done only when the stock price is going to go low ?
",0
1794,"would it be fair to say it is easier to 'short ' stocks with a smaller market cap than a larger market cap ?
",0
1795,"2. is it accurate that you get $ 50 after short changing the share , that is if , you are taking care of whatever the owner of the share needs , and are n't you gon na have to pay for the 'rent ' of the borrowed share ?
",7
1796,"does n't the broker get any commission ?
",7
1797,"for instance , if i am the short seller , who borrowed a stock from the broker for $ x , while even after its market value varies , can i able to give that share back to the broker with the same base price or it will also varies accordingly ?
",0
1798,"maybe this is not the place to ask this question , but.. where these toxic mortgages come from ?
",9
1799,"what are the fundamental differences between the federal reserve and treasury that would benefit or result in the federal reserve lending more money to purchase the toxic financial asset from the bank compared to the department of treasury at 7:08 ?
",7
1800,"also why does cad lead to weakening of the home currency ?
",0
1801,"if your tenants ( in london ) pay you electronically , is there any type of digital conversion from pounds to dollars taking place ?
",7
1802,"how can you easily differentiate current account from capital account ?
",7
1803,"when changing the amount of shares in a company , does increasing the amount of shares affect the value of shares already bought ?
",0
1804,"can you determine how much gross profit is equal to one penny in share price for a specific company ?
",0
1805,"was one of the core problems of the credit bubble the very fact that traditionally `` illiquid '' assets ( mortgages ) became very liquid due to mortgage-backed securities and cdos ?
",7
1806,"which block gets injected into the global transaction block chain ?
",7
1807,"is there a protocol for a situation where two different miners manage to find a proof at the exact same time as well as expending the exact same amount of work ?
",9
1808,"how new nodes are themeselves known to the bitcoin ecosystem ?
",3
1809,"however , the chain for both the nodes would be exactly same , till the point where the block in contention comes , right ?
",9
1810,"so why would i ever consider a stock over call option ?
",7
1811,"if so , why in the thread is it stated that when rates were low , bondholders made a killing ?
",0
1812,"if i decide to exercise my call , can the stock owner refuse to sell it to me for $ 60 ?
",7
1813,"how do you figure the risk is less ?
",0
1814,"s=aapl & m=2012-07-20 also , what is the significance of all these call options with a strike that is lower than the option 's price ?
",0
1815,"and how do interest rates really affect a country 's trade balance and all of that ?
",0
1816,"what is supply and demand graph ?
",0
1817,"is the agreement to pay up the full billion at once in case of default or incrementally , the same way a was doing ?
",7
1818,"at 7:23 what does iou mean ?
",6
1819,"so countrywide ( mortage broker ) play the role of the bank loaner , how does this chain work ?
",7
1820,"so what is the point of the investment bank ?
",7
1821,"how is this profitable for the banks in the first place ?
",7
1822,"should n't we build a third curve `` bags + tax + damage '' ?
",0
1823,"do negative externality taxes not seem like an extremely efficient way for the government to produce revenue , as opposed to income and capital gains taxes ?
",0
1824,"anyways , my main question is , why is inflation a good thing if it decreases the purchasing power of the consumer ?
",0
1825,"is 62 % the amount of price inflation ?
",0
1826,"is the price ceiling always place under the market equilibrium price ?
",0
1827,"in other words , does this mean that all apartments that would have been in that range are no longer sold , and therefore there is no demand ?
",0
1828,"how do we know a demand curve when it depends so much on individual wants that are difficult to numerically measure and have a lot of extenuating factors ?
",9
1829,"why would a goernment impllement a price ceiling ?
",0
1830,"is `` marginal cost '' the same as `` opportunity cost '' ?
",0
1831,"so if you draw a horizontal line across the graph starting at $ 2 , what do you see ?
",2
1832,"why does the quantity supplied increase as the price goes up ?
",0
1833,"why would quantity supply will increase if price will increase ?
",0
1834,"when the price goes up , there more supplies on the markt , although less people will buy it ?
",0
1835,"the prices of grapes increases to 2 $ and the farmer starts planting more grapes but why will the buyers in the market be willing to purchase the grapes from the farmer when there is a lesser demand ?
",0
1836,"why would suppliers produce the largest quantity of a good when the price for that good is the highest , when they know consumer demand for the good at that price will be the lowest ?
",0
1837,"why would suppliers increase the quantity of a product as they increase the price if they know that the consumer would not buy as many of the product at that price ?
",0
1838,"what is causing the rise in price that it would cause confidence in suppliers ?
",0
1839,"why do you have to put the price on the vertical line when making supply curve ?
",0
1840,"the scenario holds good when the supply is more owing to market demand and the cost of good is secondary for the consumer ?
",0
1841,"how much money would you demand for you to sell the first grape ?
",0
1842,"how would you graph your supply and demand graph if you gave away your goods for free ?
",0
1843,"wo n't the supplier want to produce more grapes at lower prices so that their income is higher ?
",0
1844,"how does anyone know at planting time what the price will be at harvest time ?
",0
1845,"the price that we are talking about , is it the selling price ( income ) for the supplier or the cost price ?
",0
1846,"how to balance between they supply and demand ?
",0
1847,"why between $ 3 and $ 4 not a big difference ?
",2
1848,"is n't it more intuitive that the demand curve changes ?
",9
1849,"im still not getting whos keeping the money of the dead weight loss , but i suppose is the consumers who keep the money , so neither producer or goverment have that piece revenue , im right ?
",9
1850,"where does the government get the money to keep administer the transaction without taxes ?
",7
1851,"taxation causes market failure right ?
",0
1852,"so basically the tax revenue sort of takes away part of the producer 's surplus and the consumer 's surplus ?
",0
1853,"does n't legislation needs to be created for such things to happen ?
",9
1854,"how is credit default swap accounted for in the balance sheet ?
",7
1855,"2 people can say they 'own ' the share , so who gets the dividend ?
",7
1856,"does it ever come to pass that there are no more shares to buy and the short seller could potentially not be able to buy back their share ?
",7
1857,"how are stock costs determined ?
",0
1858,"how much of a companie 's profit is controlled by the stock market ?
",0
1859,"if bank a loanded the one billion to bank c , why is the arrow pointing towards bank b ?
",7
1860,"why is depreciation explicit in the accounting profit statement but implicit in the economic profit statement ?
",0
1861,"is sal saying that if both parents died at the same time then the child/children would be entitled to an exemption of 10m ?
",1
1862,"not all the time , but over long periods of time , real rates should at least match real gdp growth , because after all , how do you get gdp growth ?
",0
1863,"i 'm not sure why around 6:15 sal says that increases in capacity precede increases in inflation , but then at 7:00ish measures the capacity at the same time as the inflation upturn to say `` this is the threshold utilisation which causes inflation to rise '' - surely a ) you 'd be accounting for that lag and b ) any increase in utilisation ought to correspond with an increase in inflation ?
",0
1864,"may there be another underlying factor , like access to cheap consumer credit , or low interest rates on savings , that increase consumer demand / spending , which in turn increases utilization and causes inflation ?
",0
1865,"how can the over printing of money create deflation ?
",7
1866,"what is push and pull inflation ?
",0
1867,"are n't tax rates not constant anyway ?
",0
1868,"given that total demand is the same what should we expect that the next step for squeezy oranges be ?
",0
1869,"how is someone able to consume without income ?
",0
1870,"in this situation , where the fed is trying to reach a target rate , would they be less likely to buy back debt from china , than from us citizens ?
",0
1871,"so the government acts as a sort of insurance agent to the federal reserve , is that right ?
",7
1872,"what does fed do with this treasuries ?
",7
1873,"at 7:59 , what is the difference between the cash printed in the asset column and notes outstanding in liabilities column ?
",7
1874,"also , similarly , when checks are written or when they are cashed by the recipient ?
",7
1875,"does double-entry accounting have anything to do with either of these two methods ?
",3
1876,"would it be correct to say that what accrual accounting is to cash accounting , is what fair value accounting is to historical cost accounting ?
",7
1877,"1:47 `` deflation is not the norm , especially for growing economies '' - but the us economy certainly grew between 1860 and 1900 , and there was deflation ?
",0
1878,"why do individuals say that deflation is bad ?
",9
1879,"how come the company has to pay for the crude if they own the rig ?
",0
1880,"i do n't know much about economics but it sounds like the economy can be thrown off balance easily ?
",9
1881,"what is the bp situation that sal tries to refer to ?
",9
1882,"why are the gas prices going high now ?
",0
1883,"why does n't the treasury get paid half of upside as a private investor ?
",7
1884,"how do people even come by these oil companies ?
",0
1885,"anybody who can tell me what the ds curve of housing looks like ?
",9
1886,"is this one of the benefits why sometimes gas companies were believed to `` hoard '' oil so that they could ensure that remaining supply of oil would suffice the future need ?
",0
1887,"why do countries like saudi refuse to reduce oil production and supply even at this stage ?
",0
1888,"why will the health condition of a powerful head of state ( obama , merkel or wladimir.p ) affect the oil price ?
",0
1889,"why is mpc what drives the multiplier ?
",6
1890,"can the rabbit trap be used again and again ?
",4
1891,"but was n't the marginal benefit a curve having 2*slope of demand curve and intercept=that of demand curve ?
",0
1892,"why do people from forex always advertise and want people to exchange what benefits do they gain ?
",0
1893,"when a currency is exchanged what is really exchanged between the countries , do they exchange commodities or gold or what ?
",0
1894,"if pakistan has 100 dollars what would they demand from america in its exchange ?
",0
1895,"how can you really fix the `` market price '' or value of a currency in the economy ?
",0
1896,"what occupations can get you a job in currency exchange ?
",0
1897,"why do people lose purchasing power each year ?
",0
1898,"is there a difference between supply and production ?
",0
1899,"for ex - in the case of the grape example how would the increase of price of wine affect the demand for grapes ?
",0
1900,"do complementary goods have an effect on the quantity supplied of a good ?
",0
1901,"i do n't understand , if we were talking about oil , then if the price of inputs went up , the price of gasoline would go up , therefore the supply would go up according to the video , therefore defying that idea of the price of inputs ?
",0
1902,"what kind of scenario would make people expect future prices to change ?
",0
1903,"now that demand has increased , what would an increase in future prices do to the new price ?
",0
1904,"or do we assume that increasing number of producers is directly related in someway to the demand and we should't worry about the product not being bought ?
",0
1905,"i do n't really understand why : when the number of suppliers goes up , the price also goes up , does n't that has to be that the price will go down , because more people now produces this type of production ( unless it has high opportunity cost , and this why the price is going higher ) ?
",0
1906,"is supply how much you have or how much you are currently selling ?
",0
1907,"at 3:55 , what does sal mean by `` suppliers '' ?
",6
1908,"are you assuming that the industry is a price taker when talking about future prices ?
",0
1909,"is cell phone market a perfect competitive market or monopolistic competition ?
",0
1910,"can a monopolist control the quantity of output at a price ?
",0
1911,"what is the highest percent of progressive tax , especially for the rich and super rich ?
",0
1912,"what would happen if the tax was on buyers ?
",7
1913,"if the costs of production for the supplier changes ( in this case taxation added ) , producer surplus would fall but if the price of the flags remained constant at $ 70 why did consumers want less of the product ?
",0
1914,"if there was no consumer surplus , why would they both buying a flag from somewhere else ?
",0
1915,"are stores relying on pent up quantity demand for the day that they specify the price will drop ?
",0
1916,"in other words , why are the demand curves for 1 and 2 parallel to the original scenario ?
",2
1917,"what will be the impact on the equilibrium in the market of burger ?
",0
1918,"so , what will affect the expectation of the price ?
",0
1919,"did the insurance companies go broke paying the hedge funds back before they could pay back the pension funds ?
",7
1920,"how is it that hedge find a can buy insurance on something it does not own ?
",7
1921,"could someone explain to me the concept behind synthetic cds ?
",3
1922,"can someone please explain what stops the federal reserve from now printing more bahts and giving it to the banks to repay their debts ?
",7
1923,"does the title itself go into the escrow account ?
",7
1924,"in the old model , the deposit would go back to the buyer 's pocket , right ?
",7
1925,"but what generally happens if for some reason the seller does n't follow through after a signed contract on $ 300k ?
",9
1926,"if i 'm not as good at writing essays as other things , will this affect me getting into a college ?
",9
1927,"after 10 years , i have to pay all of what is left of the principal , but since the amortization is over the course of 30 years , i only pay the interest part the remaining 20 years ?
",7
1928,"also , is the amortization the same as the term of the fixed mortgage ?
",7
1929,"is it necessary or beneficial to take preparation classes for either test ?
",9
1930,"how can i find time to study in between all my ap and honors classes and a sport ?
",1
1931,"how the return on a single investment in open mutual fund is calculated - for example 10 000 $ in an open fund for 10 years- how will the return be calculated ?
",7
1932,"is it good to apply early ?
",9
1933,"grades , sat , few extra-curricular activities and college essay ; these are the only things to get us into college , right ?
",1
1934,"are there any cycling extra curricular activities in high school ?
",1
1935,"should i be as worried as i am or do i just need to start understanding that my b is going to be an ok grade ?
",9
1936,"why do fewer retailers seem to accept american express ?
",7
1937,"how does the value of each share increase ?
",0
1938,"how is a stock different from a mutual fund ?
",7
1939,"does working in a family business count as part of the `` extracurricular activities '' group ?
",1
1940,"should we only take ap classes based on the career that we want to follow or we should take ap classes so we can skip those classes later in colleges for financial benefits or we should do both ?
",1
1941,"what exactly is college credit ?
",7
1942,"do you have to pay for the sat and act ?
",7
1943,"is there football as an extra item ?
",9
1944,"is the process of acquiring the retailers difficult or time consuming ?
",9
1945,"so , what if the issuing bank and the acquiring bank is the same bank ?
",7
1946,"1 ) is a network comprised by three main factors : the central processor ( visa in your video ) , issuers and acquirers , with issuers providing customers credit cards while acquirers allowing suppliers ' access to payments of cards intead of cash ?
",7
1947,"do the processor and the acquiring bank have to rebate the fees made on the $ 1000 dollar purchase or do they get to keep that money ?
",7
1948,"if i have a credit card from amex , but not issued through a bank , where do the funds come from ?
",7
1949,"is the grocery store able to recover all the losses made by it in every transaction at the end of the day/month/year ?
",7
1950,"people that sell glasses traditionally will have to fire their sales force to compete with online sales right ?
",0
1951,"at 0:56 in this video , how do i ensure that i 'll thrive in my classes ?
",9
1952,"why do banks practice compunding interest ?
",7
1953,"( a ) if dome offered a 2 percent discount for payment in 10 days and every customer took advantage of the new terms and reduces its bank loans , which cost 12 percent , by the cash generated from its reduced receivables , what will be the net gain or loss to the firm ?
",7
1954,"how does inflation tie in with interest ?
",0
1955,"is n't the formula p*r*t , where p is principle , r is rate and t is time ?
",2
1956,"if i were to take a loan of $ 1000 , with 10 % simple interest , and would want to pay it back in $ 100 installments each year does that mean that after the first year the bank would begin charging me simple interest on $ 900 ?
",7
1957,"are we able to tell when the concept of interest rate appeared for the first time ?
",9
1958,"if you are given an annual investment income , how would you find the money he invested ?
",7
1959,"is there an equation to find the compound interest ?
",3
1960,"at 2:35 , does the brother-in-law still have to pay off any dept ?
",6
1961,"why do students decide to go to a community college first rather than a 4 year university ?
",1
1962,"how do you pay your creditors back if you file for chapter 7 bankruptcy and if you have no money , assets , or possessions that have worth ?
",7
1963,"is the debt suppose suppose to be the amount paid back ?
",7
1964,"how can taking out student loans effect your credit report ?
",7
1965,"what kind of subjects are tested on the sat ?
",9
1966,"is it appropriate to take the act again if you got a really high score the first time ?
",9
1967,"question 2 - if you have available the full amount 300,000k so a home loan is not needed does this give you extra leverage to offer a lower amount on the initial offer or does it matter since the bank gives the balence anyway ?
",7
1968,"when does class size make a difference in learning in college ?
",9
1969,"the answer on the textbook is : ( on your financial calculator : ) -100pv , 4n , 2 i/yr , solve : fv= 108.24 effective yield= ( 108.24/100 ) -1=8.24 percentage i do not understand the equation ( 108.24/100 ) -1 and why do i need to - 1 in the end ?
",2
1970,"i do not understand how sal went from 0.6724 % to a decimal of 0.0006724. could someone please explain how he got the latter ?
",9
1971,"can you explain what is the difference between effective interest rate & interest rate ?
",0
1972,"i put my apr 15 % compounded monthly which borrowed from my parents and they want interest of 10 % every six months.which is the lower rate ?
",0
1973,"when people refer to compounding continuously , do they mean that it is compounded daily or is it done at a different frequency ?
",3
1974,"so how exactly does one determine their fit ( reach , best fit or backup ) for a university ?
",9
1975,"when after 5 yrs of contributing to a roth you decide no longer to contribute , will it automatically just re-invest every month for an indefinite period ?
",2
1976,"when you make an ira account , are you allowed to contribute money into your account many times as you 'd like , or just once ?
",7
1977,"my question is , do you always assume the amount of tax income in your traditional ira ( when withdrew ) or roth ira ( before putting in ) to be your highest bracket level ?
",7
1978,"if you needed to lend $ 3400 to your brother , and wanted to take that money out of your traditional ira , would n't you want to actually take out more than $ 3400 so that after taxes you were actually left with the $ 3400 that your brother needed ?
",9
1979,"the housing counts as a part of financial aid , or i have to pay that ?
",7
1980,"2 ) in case of excessive sale amount would the bank return the extra amount to customer ?
",7
1981,"when a bank forecloses on your house do they gain all the equity or do you get the remaining equity after the bank has taken the amount for their loan+interest owed ?
",7
1982,"when we say fixed rate , does that mean that if we take a mortgage of 160,000 dollars we pay 5 % each month on the 160,000 dollars regardless of whether we have paid some of that mortgage ?
",7
1983,"is interest what the bank pays u or what u pay the bank ?
",7
1984,"why do n't you use the a=p ( 1+r/n ) ^nt to calculate compoumd interest ?
",0
1985,"is there an advantage in increasing compound interest to combine 2 accounts , for example one that has $ 6,000 and another that has $ 90,000 ?
",2
1986,"example : i have $ 10000 and put it into fixed deposit .how many money i get next year ?
",7
1987,"how the credit card interest rate and bank interest rates are different ?
",7
1988,"i mean what are the disadvantages of compound interest ?
",3
1989,"do you still get credit for 3 years of a language ?
",2
1990,"at 1:28 - can you do more than 2 years of a foreign language ?
",1
1991,"when should i start applying for scholarships ?
",1
1992,"i know that ib gives international credit , but generally just in america , how does it make a difference from ap ?
",9
1993,"who exactly is philip rosedale ?
",6
1994,"while yes , i do understand why we need to have diverse schools to give every student an equal chance to graduate and get a good job and everything , how is it fair that some races get admission into top schools easier than other races ?
",9
1995,"so where are antibiotics and hormones derived from ?
",8
1996,"how much study has been done on high enzyme count and long term side effects on the dna nd how it is transferred into humans when it is genetically engineered vs naturally cultured in a range dictated by natural selection ?
",3
1997,"is there a difference between equity and net worth ?
",7
1998,"can you ask letters of recommendation from employers ?
",7
1999,"can i apply for financial aid if i did n't apply to all the colleges i wanted to yet ?
",7
2000,"if i add additional payments ( lets say a second payment each pay period ) down on the principal , but everything else ( interest , payment value , etc ) stays the same , how could i figure out the change in time it would take to pay off the loan ?
",7
2001,"how are payments in arm 's calculated ?
",7
2002,"does the bachelors degree add on two years after the associates degree ?
",1
2003,"many people say college is a hug experience and they are proud and that people who go to there classes want to be there but how do you balance a job and school ?
",9
2004,"between the act and the sat ... how do collages view them differently ?
",9
2005,"would advanced placement exams be considered `` standardized tests '' ?
",3
2006,"when can you start taking sat and act ?
",1
2007,"how do i know whether to take the sat or act ?
",9
2008,"if 32,987 is the amount you would owe the lenders after one year because they lent you $ 100 , should n't sal write it without the percentage sign at 9:44 ?
",7
2009,"at around 8:12 , when solving for the effective apr , why does the expression have to be ( 1.25 ) to the 26th power ?
",6
2010,"what 's the point of apr ?
",2
2011,"why does the eapr is 32,987 % ?
",6
2012,"... and how you do n't loose focus in your vision ?
",9
2013,"i understand his current calculations , but arent mortgage rates closer to 3 percent then they are to 6 ?
",0
2014,"does the bank give your original assets ( money that you put as downpayment ) back , or do they keep everything ?
",7
2015,"do home equity loans have interest ?
",7
2016,"what are the benifits of being creative ?
",9
2017,"my question generated from your talk is that what if you have put the work in but have not been recognised , rewarded or neither of either of the r 's ?
",9
2018,"is there a formula for finding out how many `` investors '' there will be in any week ?
",0
2019,"why dont the investors start getting suspicous and asking questions about all the secrecy ?
",9
2020,"how does the ponzi scheme runner manage to hide that he hasnt invested what they gave the leader of the ponzi schene ?
",7
2021,"is it possible to cover up that a ponzi scheme is happening by decreasing the asset value on the statements that the investors receive ?
",7
2022,"what would your argument be if someone says flying ( as a pilot ) is too life threatening ?
",9
2023,"what could be considered an extracurricular activity ?
",1
2024,"would being an njhs president in 8th grade help in the college application or is that too early for the college to even pay attention to that fact ?
",1
2025,"question 1 : why is it so important that i be the captain of something ?
",1
2026,"is it absolutely necessary to submit a supplemental essay along with common application essay ?
",3
2027,"you need an urgent loan to clear your debts , or you need a capital loan for your business ?
",7
2028,"our economy and job growth are slowing down and most have part time jobs in future will the only valuble option be renting and owning a house a luxury or will eventually our market crash resulting in better prices for people to own housing again ?
",0
2029,"planning on buying a house ( with your girlfriend , wife , whatever ) can you still go and ask for deduction ?
",7
2030,"how do you know what to draw like anything like art or anything else ?
",9
2031,"also , would it be possible to stop participating in the 401 ( k ) and roll it into a roth ira and take out the principle without penalty ?
",7
2032,"at 6:59 , why would the employer want to match or even exceed the contribution made to the 401 ( k ) ?
",2
2033,"what does it mean that the company `` matches '' your 401k ?
",7
2034,"contributions to ira and 401k are `` pre-tax '' contributions , but do you and/or employer still pay the fica on that amount ?
",7
2035,"not sure if this is off topic , but if i want to go to a pretty selective art college ( 8 % acceptance rate to be exact ) , how should i divide my time between making sure my grades are sparkly and keeping up my own independent art study ?
",9
2036,"and also , does high scores predict your success in later life ?
",1
2037,"do you think that whether you go to a public or private high school affects which college you get into ?
",1
2038,"do you see a future where people without the financial resources who want to be educated can get a college degree ?
",1
2039,"do you guys have advice for the uc application ?
",9
2040,"if i have a 15 year fixed mortgage , it means i have a 15 year amortization ?
",7
2041,"should i invest my retirement with anyone who is n't a fiduciary ?
",7
2042,"what are the mechanics of how pete receive the 1 % of his salary ?
",2
2043,"within high school , should i be focussing more on wanting to get good grades ( be it a 's or b 's ) in order to actually attempt to get into good colleges ?
",1
2044,"why do colleges care about extracurriculars even if they do not affect education ?
",1
2045,"if this is really how the whole credit card system operates , then why would n't retailers offer a small percentage discount to customers who pay cash for purchases , instead of using their card ?
",7
2046,"can a bank be a member of more than one network ?
",7
2047,"can / do banks usually provide more than one credit card ?
",7
2048,"why do some retailers charging extra fees if customer using credit cards ?
",7
2049,"why would visa let the acquiring banks to do this and get some profit , if not much , out of the transaction fee ?
",7
2050,"shouldnt everyone use compound interest ?
",3
2051,"so , in what scenario would a bank ever want to allow a person to take a loan that will be continuously compounded ?
",7
2052,"so , would the fact that it is a religious college mean that i would be required to participate in religious activities ?
",1
2053,"what is the best way to build your credit ?
",9
2054,"are n't you legally bound to repay the mortgage regardless of what happens to your house ?
",7
2055,"how can a customer know what you sell , or even that you exist at all , if you do n't inform them ?
",9
2056,"what does that mean to someone trying to buy a car , ad why are dealers always advertising this ?
",7
2057,"what exactly is `` credit balance '' ?
",7
2058,"what 's the danger of applying to more if you can afford ( or find funds ) for it ?
",7
2059,"why not just go to a community collage for less money , than transfer to your desired school ?
",1
2060,"i thought in this case of roth i ca n't use $ 5000 for deduction , whereas in tradition i can use this for deduction ?
",9
2061,"what happens if you want to compound monthly ?
",9
2062,"i have a few more years in high school but till i 'm out what is a good way to keep my grades and studies up ?
",1
2063,"or is the deposit of 9000 $ in this case just going to the escrow account as a sign of good faith , and it is later transferred to the bank as part of the down-payment on the home loan ?
",7
2064,"is the psat the practice sat ?
",6
2065,"how does the asset under management benefit pete inc ?
",7
2066,"are there talented programs that a middle schooler could use to prepare for college ?
",1
2067,"is taking gce a level courses equivalent ( when applying to college ) to ap courses ?
",1
2068,"exactly how much are the extracurricular activities looked at ?
",9
2069,"can a creditor also be an acquirer ?
",6
2070,"if i pay $ 100 cash for my groceries , does n't the grocer receive that 2 % discount rate ?
",7
2071,"so even though i am a part of bank a , if i buy groceries from a grocery store that is part of bank b , then bank b gets a cut of the money even though i , personally , am not even a part of bank b ?
",7
2072,"or is the merchant taking a lost and force to pay a flat rate to the other parties involved ?
",7
2073,"will these systems eventually be built on the blockchain ?
",1
2074,"and if so , should n't businesses prefer credit cards issued by the same bank that made them enter the network ?
",7
