wonum,description,persongroup,crewworkgroup,assetnum,asset description,location,location description,status,worktype,siteid,problemcode,taskid,task description,desc_and_uni_task,label_description
R10509908,MCS - Troubleshooting and repair Valve Actuator for Mud Transfer,ELECTRICAL,ELT,C1022858,MUD LOW PRESSURE PIPING,325.MPIP3,MUD LP VALVE & PIPING SUCTION,CLOSE,CM,2326.0,FTO,10.0,"Troubleshooting the actutors Valves in MCS:
  HV â€“ 08-146  ( Aberta, nao aceita comando ).
  HV â€“ 08-128  ( Aberta todo tempo ). 
  HV â€“ 08-132  ( Abre e Fecha somente Local ). - It is working
 HV â€“ 08-96    ( Aberta todo tempo ). - Need to Replace the air manifold.
  HV â€“ 08-94    ( Fica amarela na tela, nao abre nem fecha ao dar comendo ) - Need to Replace the air manifold.         
  HV â€“ 08-92    ( Abre e Fecha somente Local ) - Butterfly Valve is hard to open or close even in manual.
 HV â€“ 08-134  ( Abre e Fecha manualmente ) - Air Manifold or Valve Actuator is damage.
  HV â€“ 08-99    - Test it is working remotely during command to open and close.
          
  Local:  Bombas de Transferencias de BRINE e BASEOIL 

  HCVâ€”08-113  ( Valvula de porcentagem, nao abre ).
  HV â€“ 08- 109   ( Abre e Fecha, fica todo tempo amarela no painel","MCS - Troubleshooting and repair Valve Actuator for Mud Transfer. Troubleshooting the actutors Valves in MCS:
  HV â€“ 08-146  ( Aberta, nao aceita comando ).
  HV â€“ 08-128  ( Aberta todo tempo ). 
  HV â€“ 08-132  ( Abre e Fecha somente Local ). - It is working
 HV â€“ 08-96    ( Aberta todo tempo ). - Need to Replace the air manifold.
  HV â€“ 08-94    ( Fica amarela na tela, nao abre nem fecha ao dar comendo ) - Need to Replace the air manifold.         
  HV â€“ 08-92    ( Abre e Fecha somente Local ) - Butterfly Valve is hard to open or close even in manual.
 HV â€“ 08-134  ( Abre e Fecha manualmente ) - Air Manifold or Valve Actuator is damage.
  HV â€“ 08-99    - Test it is working remotely during command to open and close.
          
  Local:  Bombas de Transferencias de BRINE e BASEOIL 

  HCVâ€”08-113  ( Valvula de porcentagem, nao abre ).
  HV â€“ 08- 109   ( Abre e Fecha, fica todo tempo amarela no painel",Failure to open. The equipment does not open on demand
R10511674,MCH - TDX - JOINT CLAMPS REPLACE,MECHANICAL,MCH,C1022642,NOV TDX 1250 TOP DRIVE - AUX WELL,313.TD2,"TOP DRIVE, AUX WELL",CLOSE,CM,2326.0,CRK,10.0,REPLACE JOINT CLAMP WITH BROKEN LOCK PIN.,MCH - TDX - JOINT CLAMPS REPLACE. REPLACE JOINT CLAMP WITH BROKEN LOCK PIN.,Cracked. Damaged and showing lines on the surface from having split without coming apart
R10511723,SSE- Change out filter on HPU mixing system,WELL CONTROL,SSE,C1023067,NOV SHAFFER BOP HYDRAULIC POWER UNIT (HPU),332.BCSS1.200,"UNIT, HYDRAULIC POWER, BOP ONLINE, BOP CONTROL SYSTEMS SURFACE EQUIPMENT",CLOSE,CM,2326.0,PLU,10.0,Change out filters on HPU mixing unit,SSE- Change out filter on HPU mixing system. Change out filters on HPU mixing unit,Plugged. A constraint in flow conductor
R10512399,MCH - REPLACED PNEUMATIC CYLINDER ON UPPER / LOWER FINGERBOARD.,MECHANICAL,MCH,C1023260,NOV BELLYBOARD,341.FB2,"FINGER BOARD, LOWER",CLOSE,CM,2326.0,FTO,10.0,REPLACE PNEUMARIC CYLINDER AND PERFORMED FUNCTION TEST.,MCH - REPLACED PNEUMATIC CYLINDER ON UPPER / LOWER FINGERBOARD.. REPLACE PNEUMARIC CYLINDER AND PERFORMED FUNCTION TEST.,Failure to open. The equipment does not open on demand
R10026653,"Repair 10', 15', and 20' 6 5/8"" PUP Repair 5', (2) 10', and 15' 5"" pups Repair 9, 6 5/8 HWDP",DRILLING,DSL,C1026353,DRILL PIPE,351,DRILL PIPES,CLOSE,CM,2330.0,PLU,10.0,Repair Pup joints and spiral HWDP,"Repair 10', 15', and 20' 6 5/8"" PUP Repair 5', (2) 10', and 15' 5"" pups Repair 9, 6 5/8 HWDP. Repair Pup joints and spiral HWDP",Plugged. A constraint in flow conductor
R10506370,Repair ROV Hotstab,WELL CONTROL,SSE,C1026199,CAMERON ROV PANEL,332.BCS1.900,"PANELS, ROV, BOP 1 CONTROL",CLOSE,CM,2330.0,FRC,10.0,Hot stab on flying lead has broken handle and needs to be replaced.,Repair ROV Hotstab. Hot stab on flying lead has broken handle and needs to be replaced.. Two spare hotstabs in shop missing or damaged handles,Fractured. Fractured or damaged and no longer in one piece 
R10512772,Replace Bushings & Heel Pin in LGA,MECHANICAL,MCH,C1026335,MHWIRTH LOWER GUIDING ARM,341.PRS1.120,"LOWER GUIDE ARM (UGA), VPH",CLOSE,CM,2330.0,TRD,10.0,LGA arm is showing signs of play in the main pivot pin on the LGA. There are installed bushing that are most likely worn out. Bondura bolt must be removed and bushings replaced.,Replace Bushings & Heel Pin in LGA. LGA arm is showing signs of play in the main pivot pin on the LGA. There are installed bushing that are most likely worn out. Bondura bolt must be removed and bushings replaced.. Attached materials for telescope pad shim set.  Bondura & bushings on PO #701064606.. Ordering one of each shim set to use as template to fabricate enough to shims all pads.,Thickness reduction. Reduction in thickness measurement  or  loss of material
R10514391,"Change out IBOP on DDM VALVE, I-BOP (KELLY), 7-5/8IN",DRILLING,DSL,C1025791,"IBOP, UPPER, TOP DRIVE",313.TD1.210,"IBOP, UPPER, TOP DRIVE",CLOSE,CM,2330.0,FTC,10.0,"Change out IBOP on DDM VALVE, I-BOP (KELLY), 7-5/8IN","Change out IBOP on DDM VALVE, I-BOP (KELLY), 7-5/8IN. Change out IBOP on DDM VALVE, I-BOP (KELLY), 7-5/8IN",Failure to close. The equipment does not close on demand
M99991000,Cracked,,,,,,,,,,CRK,,Damaged and showing lines on the surface from having split without coming apart,Cracked. Damaged and showing lines on the surface from having split without coming apart,Cracked. Damaged and showing lines on the surface from having split without coming apart
M99991001,Deformed,,,,,,,,,,DFM,,Not having the normal or natural shape or form,Deformed. Not having the normal or natural shape or form,Deformed. Not having the normal or natural shape or form
M99991002,External leak,,,,,,,,,,ELK,,Accidentally lose or admit contents.  Source of leak is visible.,External leak. Accidentally lose or admit contents.  Source of leak is visible.,External leak. Accidentally lose or admit contents.  Source of leak is visible.
M99991003,Fractured,,,,,,,,,,FRC,,Fractured or damaged and no longer in one piece ,Fractured. Fractured or damaged and no longer in one piece ,Fractured. Fractured or damaged and no longer in one piece 
M99991004,Failure to close,,,,,,,,,,FTC,,The equipment does not close on demand,Failure to close. The equipment does not close on demand,Failure to close. The equipment does not close on demand
M99991005,Failure to open,,,,,,,,,,FTO,,The equipment does not open on demand,Failure to open. The equipment does not open on demand,Failure to open. The equipment does not open on demand
M99991006,Failure to start/function on demand,,,,,,,,,,FTS,,"The equipment does not start, function on demand","Failure to start/function on demand. The equipment does not start, function on demand",Failure to start or function on demand. The equipment does not start or function on demand
M99991007,Internal leak,,,,,,,,,,INL,,Accidentally lose or admit contents.  Source of leak is not visible.,Internal leak. Accidentally lose or admit contents.  Source of leak is not visible.,Internal leak. Accidentally lose or admit contents.  Source of leak is not visible.
M99991008,Lubrication/Fluid Sampling,,,,,,,,,,LFS,,"Unsatisfactory fluid, lubrication sample","Lubrication/Fluid Sampling. Unsatisfactory fluid, lubrication sample",Lubrication or Fluid Sampling. Unsatisfactory fluid or lubrication sample
M99991009,Parameter deviation,,,,,,,,,,PDE,,A parameter is not controlled as set,Parameter deviation. A parameter is not controlled as set,Parameter deviation. A parameter is not controlled as set
M99991010,Plugged,,,,,,,,,,PLU,,A constraint in flow conductor,Plugged. A constraint in flow conductor,Plugged. A constraint in flow conductor
M99991011,Power/signal failure,,,,,,,,,,PTF,,Power or signal loss in electrical system,Power/signal failure. Power or signal loss in electrical system,Power or signal failure. Power or signal loss in electrical system
M99991012,Stuck,,,,,,,,,,STU,,Unable to move,Stuck. Unable to move,Stuck. Unable to move
M99991013,Thickness reduction,,,,,,,,,,TRD,,"Reduction in thickness measurement ,  loss of material","Thickness reduction. Reduction in thickness measurement ,  loss of material",Thickness reduction. Reduction in thickness measurement  or  loss of material
